DATE,PROCESS,USER,PROTOCOL,SRC_IP,SRC_PORT,SRC_PORT_NAME,DEST_IP,DEST_PORT,DEST_PORT_NAME
2016-06-04 16:16:38.225,C:\Windows\System32\svchost.exe,AUTORITE NT\SERVICE LOCAL,udp,127.0.0.1,49190,,239.255.255.250,3702,
2016-06-04 16:16:38.515,C:\Windows\System32\svchost.exe,AUTORITE NT\SERVICE LOCAL,udp,local,53181,,239.255.255.250,1900,ssdp
2016-06-04 16:16:39.877,C:\Windows\System32\svchost.exe,AUTORITE NT\SERVICE LOCAL,udp,local,62735,,239.255.255.250,3702,ws-discovery
2016-06-04 16:16:43.401,System,AUTORITE NT\Syst�me,udp,local,137,netbios-ns,239.255.255.250,137,netbios-ns
2016-06-04 16:17:01.207,C:\Windows\explorer.exe,,tcp,local,49679,,a104-71-200-228.deploy.static.akamaitechnologies.com,80,http
2016-06-04 16:17:01.261,C:\Windows\explorer.exe,,tcp,local,49680,,a104-71-200-228.deploy.static.akamaitechnologies.com,443,https
2016-06-04 16:17:01.739,C:\Windows\explorer.exe,,tcp,local,49681,,104.244.43.39,443,https
2016-06-04 16:17:01.928,C:\Windows\System32\svchost.exe,AUTORITE NT\Syst�me,tcp,local,49682,,131.253.61.80,80,http
2016-06-04 16:17:02.005,System,AUTORITE NT\Syst�me,udp,local,137,netbios-ns,131.253.61.80,137,netbios-ns
2016-06-04 16:17:02.027,System,AUTORITE NT\Syst�me,udp,local,137,netbios-ns,104.244.43.39,137,netbios-ns
2016-06-04 16:17:02.034,C:\Windows\explorer.exe,,tcp,local,49683,,candycrushsoda.king.com,80,http
2016-06-04 16:17:02.211,C:\Windows\explorer.exe,,tcp,local,49684,,a23-214-143-15.deploy.static.akamaitechnologies.com,80,http
2016-06-04 16:17:02.618,C:\Windows\System32\svchost.exe,AUTORITE NT\Syst�me,tcp,local,49685,,131.253.61.80,443,https
2016-06-04 16:17:03.351,C:\Windows\explorer.exe,,tcp,local,49686,,msnbot-191-232-139-49.search.msn.com,443,https
