DATE,EXE,PID,ACCOUNT,HOST
2016.06.04 22:50:17,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:50:17,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:50:17,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:50:17,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:50:17,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:50:17,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:50:17,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:50:17,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:50:17,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:50:17,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:50:17,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:50:17,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:50:17,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:50:17,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:50:17,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:50:17,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:50:17,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:50:17,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:50:17,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:50:18,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:50:18,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:50:18,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:50:18,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:50:18,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:50:18,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:50:34,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:51:18,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:51:48,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:52:22,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:52:56,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:52:56,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:52:56,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:53:39,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:54:18,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:54:57,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:55:29,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:56:13,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:56:43,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:57:21,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:57:58,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:58:37,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:59:11,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:59:48,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:00:19,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:00:52,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:01:26,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:02:10,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:02:47,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:03:20,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:03:59,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:04:38,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:05:17,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:05:52,svchost.exe,960,System,wpad
2016.06.04 23:05:55,svchost.exe,1132,System,settings-win.data.microsoft.com
2016.06.04 23:05:55,svchost.exe,1132,System,settings-win.data.microsoft.com
2016.06.04 23:05:55,svchost.exe,1132,System,settings-win.data.microsoft.com
2016.06.04 23:05:55,svchost.exe,1132,System,settings-win.data.microsoft.com
2016.06.04 23:05:55,svchost.exe,1132,System,settings-win.data.microsoft.com
2016.06.04 23:05:56,svchost.exe,960,System,wpad
2016.06.04 23:05:57,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:06:38,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:06:59,svchost.exe,1132,System,settings-win.data.microsoft.com
2016.06.04 23:07:15,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:07:58,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:08:36,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:09:16,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:09:46,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:10:26,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:11:03,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:11:45,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:12:20,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:13:02,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:13:46,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:14:25,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:14:56,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:15:39,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:16:18,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:16:54,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:17:30,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:18:04,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:18:41,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:19:25,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:19:56,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:20:40,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:21:15,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:21:59,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:22:41,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:23:14,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:23:50,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:24:24,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:25:01,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:25:38,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:26:22,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:26:54,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:27:24,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:28:09,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:28:42,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:29:24,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:29:55,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:30:26,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:31:00,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:31:36,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:32:15,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:32:47,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:33:24,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:33:55,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:34:31,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:35:08,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:35:40,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 23:35:51,svchost.exe,1132,System,vortex-win.data.microsoft.com
2016.06.04 23:35:51,svchost.exe,1132,System,vortex-win.data.microsoft.com
2016.06.04 23:35:51,svchost.exe,1132,System,vortex-win.data.microsoft.com
