HOST,COUNT,ORGANIZATION,COUNTRY,RESOLVED DATE,RESOLVED DOMAIN
,,,,2017-08-24,fe2.update.microsoft.com
,,,,2017-06-26,fe1.update.microsoft.com.akadns.net
134.170.165.251,44,AS8075 Microsoft Corporation,US,2017-08-03,fe2.update.microsoft.com.akadns.net
,,,,2017-06-21,fe1.update.microsoft.com
,,,,2017-06-19,fe2.update.microsoft.com.nsatc.net
,,,,2016-12-06,fe2.update.microsoft.com
134.170.165.253,22,AS8075 Microsoft Corporation,US,2018-02-15,134.170.165.253
,,,,2018-01-26,fe2.update.microsoft.com.nsatc.net
,,,,2017-06-15,fe1.update.microsoft.com.akadns.net
,,,,2017-06-12,fe2.update.microsoft.com
,,,,2015-02-07,fe2.update.microsoft.com.akadns.net
157.56.96.123,32,AS8075 Microsoft Corporation,US,2018-01-16,fe2.update.microsoft.com.nsatc.net
,,,,2017-12-22,fe2.update.microsoft.com.akadns.net
,,,,2017-02-18,fe2.update.microsoft.com
,,,,2015-03-16,fe1.update.microsoft.com.akadns.net
,,,,2014-09-04,www.windowsupdate.com
,,,,2014-08-14,www.update.microsoft.com.nsatc.net
,,,,2014-06-12,windowsupdate.microsoft.com
,,,,2014-06-09,www.update.microsoft.com
169.254.76.91,7,,,,
169.254.197.141,4,,,,
169.254.203.169,8,,,,
169.254.221.20,3,,,,
178.79.253.14,1,AS22822 Limelight Networks. Inc.,GB,,
191.232.80.58,12,AS8075 Microsoft Corporation,US,2018-02-26,fe2.update.microsoft.com.akadns.net
,,,,2018-02-20,fe2.update.microsoft.com.nsatc.net
,,,,2017-08-07,fe1.update.microsoft.com.akadns.net
,,,,2017-07-31,fe2.update.microsoft.com
191.232.80.60,22,AS8075 Microsoft Corporation,US,2018-02-22,fe2.update.microsoft.com
,,,,2017-12-25,fe2.update.microsoft.com.nsatc.net
,,,,2015-03-26,fe1.update.microsoft.com.akadns.net
,,,,2014-09-15,fe2.update.microsoft.com.akadns.net
191.232.80.62,12,AS8075 Microsoft Corporation,US,2018-02-15,fe2.update.microsoft.com
,,,,2017-08-17,fe2.update.microsoft.com.akadns.net
,,,,2017-07-22,fe1.update.microsoft.com.akadns.net
,,,,2017-05-23,fe2.update.microsoft.com.nsatc.net
191.234.72.183,31,AS8075 Microsoft Corporation,US,2018-01-20,fe2.update.microsoft.com
,,,,2018-01-13,fe2.update.microsoft.com.nsatc.net
,,,,2015-03-16,fe1.update.microsoft.com.akadns.net
,,,,2014-09-15,fe2.update.microsoft.com.akadns.net
